doc_id	chunk_id	subject	predicate	object	evidence	confidence	evaluation_layer	object_normalized
ped_b-cell_v2_2025	12	autologous HCT	ACHIEVES_OUTCOME	improved PFS	Disease status at the time of transplant was predictive of both PFS and OS for pediatric and AYA patients undergoing autologous HCT	HIGH	context_attribute	improved pfs
ped_b-cell_v2_2025	12	R-VICI	COMBINED_WITH	rituximab	R-VICI (rituximab, vincristine, ifosfamide, carboplatin, idarubicin, and dexamethasone)	HIGH	core_relation	rituximab
ped_b-cell_v2_2025	12	R-VICI	COMBINED_WITH	vincristine	R-VICI (rituximab, vincristine, ifosfamide, carboplatin, idarubicin, and dexamethasone)	HIGH	core_relation	vincristine
ped_b-cell_v2_2025	12	R-VICI	COMBINED_WITH	ifosfamide	R-VICI (rituximab, vincristine, ifosfamide, carboplatin, idarubicin, and dexamethasone)	HIGH	core_relation	ifosfamide
ped_b-cell_v2_2025	12	CAR T-cell therapy	CONTRAINDICATED_IN	relapsed or refractory BL or other LBCL	CAR T-cell therapy is currently not recommended in the guidelines for the treatment of pediatric patients with relapsed or refractory BL or other LBCL	HIGH	core_relation	relapsed or refractory bl or other lbcl
ped_b-cell_v2_2025	12	R-CYVE	INDICATED_FOR_STAGE	second-line	R-CYVE (if not previously received as part of initial therapy) or R-ICE are included as options for second-line therapy.	HIGH	context_attribute	second-line
ped_b-cell_v2_2025	12	R-ICE	INDICATED_FOR_STAGE	relapsed or refractory	R-ICE and R-VICI ... were the most commonly used regimens in the relapsed or refractory setting.	HIGH	context_attribute	relapsed or refractory
ped_b-cell_v2_2025	12	R-VICI	INDICATED_FOR_STAGE	relapsed or refractory	R-ICE and R-VICI ... were the most commonly used regimens in the relapsed or refractory setting.	HIGH	context_attribute	relapsed or refractory
ped_b-cell_v2_2025	12	allogeneic HCT	INDICATED_FOR_STAGE	post-second-line therapy	Second-line therapy followed by consolidation with autologous or allogeneic HCT ... is recommended	HIGH	context_attribute	post-second-line therapy
ped_b-cell_v2_2025	12	autologous HCT	INDICATED_FOR_STAGE	post-second-line therapy	Second-line therapy followed by consolidation with autologous or allogeneic HCT ... is recommended	HIGH	context_attribute	post-second-line therapy
ped_b-cell_v2_2025	12	CAR T-cell therapy	TREATS	relapsed or refractory DLBCL	CAR T-cell therapy (CD19-directed) ... for the treatment of relapsed or refractory DLBCL in adult patients after ≥2 prior systemic therapy regimens.	HIGH	core_relation	relapsed or refractory dlbcl
ped_b-cell_v2_2025	12	R-ICE	TREATS	relapsed or refractory NHL	R-ICE and R-VICI ... were the most commonly used regimens in the relapsed or refractory setting.	HIGH	core_relation	relapsed or refractory nhl
ped_b-cell_v2_2025	12	R-VICI	TREATS	relapsed or refractory NHL	R-ICE and R-VICI ... were the most commonly used regimens in the relapsed or refractory setting.	HIGH	core_relation	relapsed or refractory nhl
ped_b-cell_v2_2025	12	CAR T-cell therapy	USED_IN_POPULATION	pediatric and AYA	Ongoing clinical trials are evaluating CAR T-cell therapy and bispecific antibodies ... for relapsed or refractory mature B-cell lymphomas in pediatric and AYA patients.	HIGH	context_attribute	pediatric and aya
ped_b-cell_v2_2025	12	CAR T-cell therapy	USED_IN_POPULATION	adults	CAR T-cell therapy (CD19-directed) ... for the treatment of relapsed or refractory DLBCL in adult patients	HIGH	context_attribute	adults
ped_b-cell_v2_2025	12	COG ANHL 1131 (Arm C1)	USED_IN_POPULATION	low risk of relapse	Chemotherapy regimens such as COG ANHL 1131 (Arm C1 regimen) ... can be considered for patients with a low risk of relapse	HIGH	context_attribute	low risk of relapse
ped_b-cell_v2_2025	12	COG ANHL 1131 (Arm C1)	USED_IN_POPULATION	initial Group A disease	patients with initial Group A disease or patients with low-stage [stage I or II] Group B treated according to POG9219	HIGH	context_attribute	initial group a disease
ped_b-cell_v2_2025	12	COG ANHL 1131 (Arm C1)	USED_IN_POPULATION	low-stage Group B (stage I or II)	patients with initial Group A disease or patients with low-stage [stage I or II] Group B treated according to POG9219	HIGH	context_attribute	low-stage group b (stage i or ii)
ped_b-cell_v2_2025	12	R-CYVE	USED_IN_POPULATION	low risk of relapse	two cycles of R-CYVE (without consolidative HCT) can be considered for patients with a low risk of relapse	HIGH	context_attribute	low risk of relapse
ped_b-cell_v2_2025	12	R-CYVE	USED_IN_POPULATION	initial Group A disease	patients with initial Group A disease or patients with low-stage [stage I or II] Group B treated according to POG9219	HIGH	context_attribute	initial group a disease
ped_b-cell_v2_2025	12	R-CYVE	USED_IN_POPULATION	low-stage Group B (stage I or II)	patients with initial Group A disease or patients with low-stage [stage I or II] Group B treated according to POG9219	HIGH	context_attribute	low-stage group b (stage i or ii)
ped_b-cell_v2_2025	12	R-ICE	USED_IN_POPULATION	children and adolescents	analyzed the outcomes of 639 children and adolescents with relapsed or refractory NHL	HIGH	context_attribute	children and adolescents
ped_b-cell_v2_2025	12	R-VICI	USED_IN_POPULATION	children and adolescents	analyzed the outcomes of 639 children and adolescents with relapsed or refractory NHL	HIGH	context_attribute	children and adolescents
ped_b-cell_v2_2025	12	autologous HCT	USED_IN_POPULATION	pediatric and AYA	Disease status at the time of transplant was predictive of both PFS and OS for pediatric and AYA patients undergoing autologous HCT	HIGH	context_attribute	pediatric and aya
ped_b-cell_v2_2025	12	axicabtagene ciloleucel	USED_IN_POPULATION	adults	approved for relapsed or refractory DLBCL in adults	HIGH	context_attribute	adults
vte_v2_2025	36	Fondaparinux	ALTERNATIVE_TO	DTI	Fondaparinux has been rarely associated with HIT.	MEDIUM	core_relation	dti
vte_v2_2025	36	Warfarin	COMBINED_WITH	DTI	DTIs, particularly argatroban, can increase the INR substantially during warfarin co-therapy	HIGH	core_relation	dti
vte_v2_2025	36	Warfarin	COMBINED_WITH	bivalirudin	Bivalirudin slightly prolongs the INR during co-therapy	HIGH	core_relation	bivalirudin
vte_v2_2025	36	Warfarin	COMBINED_WITH	fondaparinux	Discontinue DTI or fondaparinux after at least 5 to 7 days overlap	HIGH	core_relation	fondaparinux
vte_v2_2025	36	Bivalirudin	CONTRAINDICATED_IN	history of anaphylaxis to bivalirudin	Anaphylaxis has occurred with bivalirudin.	MEDIUM	core_relation	history of anaphylaxis to bivalirudin
vte_v2_2025	36	Intravenous Immunoglobulin	HAS_DOSE	1 g/kg	1 g/kg IV daily x2	HIGH	core_relation	1 g/kg
vte_v2_2025	36	Warfarin	HAS_DOSE	5 mg	Initial dose 5 mg (consider lower dose for patients: age >75 years, CYP2C9 inhibitors, poor oral intake, liver disease)	HIGH	core_relation	5 mg
vte_v2_2025	36	Warfarin	HAS_ELIGIBILITY	platelet count 150,000/μL or return to baseline	Initiate once platelet count 150,000/μL or return to baseline	HIGH	context_attribute	platelet count 150,000/μl or return to baseline
vte_v2_2025	36	Warfarin	HAS_ELIGIBILITY	INR reaches intended target range (≥2)	when the INR reaches intended target range ( ≥2 )	HIGH	context_attribute	inr reaches intended target range (≥2)
